text,role
"Experienced in Python, pandas, numpy, scikit-learn and building ML models.",Data Scientist
"Built data pipelines, ETL processes and worked with Spark and Hadoop.",Data Engineer
"Developed REST APIs with Node.js, Express and PostgreSQL.",Web Developer
"Frontend development using React, TypeScript, CSS and responsive design.",Frontend Developer
"Designed and deployed Docker + Kubernetes based microservices on AWS.",DevOps Engineer
"Implemented deep learning models in TensorFlow and PyTorch for CV tasks.",Machine Learning Engineer
"Android application development using Kotlin and Android SDK.",Android Developer
"Backend systems in Java with Spring Boot and MySQL integration.",Backend Developer
"Led agile teams, coordinated sprints, and practiced Scrum ceremonies.",Product Manager
"Worked on cloud architecture (AWS, GCP), IaC with Terraform and CI/CD.",Cloud Engineer
"Created dashboards and visualizations with Tableau and Power BI.",Data Analyst
"Experience with NLP, transformers, huggingface and text classification.",NLP Engineer
